state,wf_Management,wf_Business and Financial Operations,wf_Computer and Mathematical,wf_Architecture and Engineering,"wf_Life, Physical, and Social Science",wf_Community and Social Service,wf_Legal,wf_Educational Instruction and Library,"wf_Arts, Design, Entertainment, Sports, and Media",wf_Healthcare Practitioners and Technical,wf_Healthcare Support,wf_Protective Service,wf_Food Preparation and Serving Related,wf_Building and Grounds Cleaning and Maintenance,wf_Personal Care and Service,wf_Sales and Related,wf_Office and Administrative Support,"wf_Farming, Fishing, and Forestry",wf_Construction and Extraction,"wf_Installation, Maintenance, and Repair",wf_Production,wf_Transportation and Material Moving,bachelors_plus,broadband,median_hh_income,log_gdp,ms_ai_user_share,openai_rank_2025
MD,12.957807508262295,7.60735347341977,6.492648154618556,2.331663967880056,2.478813585854601,2.016982944420024,1.643817774922449,6.756985223673681,2.30120086611639,6.067103982807915,2.655737520146974,2.732161396205669,4.651618583180861,3.171543893791789,2.751353463401072,7.645988075245428,9.532508794537806,0.17626645727589113,4.564581149570386,2.791710028841325,2.5351687586959164,6.136984397131147,43.746985123,92.91324120492386,98678,11.81579957541326,36.3,16
MA,13.345693786594936,7.2994504916436425,4.861887782674786,2.751244058046365,2.65240127241109,2.2545530673358822,1.4830146756632867,7.330080834807363,2.3626115910012846,7.050865280559295,3.2689767627562727,2.0519666411591375,4.764669736981238,3.1100718694390945,2.8259554602848302,7.926147312773359,8.897901608412637,0.2153179949004474,4.664841453348522,2.046000383012465,3.5800212388135986,5.256326697380467,47.78163561635906,93.87993647946578,99858,12.02205146543397,33.4,10
MI,10.791650917468951,5.926646854642455,3.261374618313053,3.3268111093579362,0.9430443352960826,1.732926642915183,0.9116115975191359,5.493472212402371,1.828738437946364,6.555177206206017,3.405703963738729,1.6426508247879896,5.352294434352748,3.2133339498241447,2.263343725903209,9.089472790466177,10.353500116214047,0.44043154080336355,4.436349431691539,3.020341916032707,8.47719789168436,7.533925482433433,32.675642878506636,91.56976383273906,69183,11.606649986480592,27.4,27
MN,12.3935151165232,6.719537318916649,3.987278238505144,2.671241864371195,1.379284327104766,2.192059888725593,0.9788998530338022,6.2520995171110645,2.112901532647491,7.048210161662817,3.8407057001889564,1.413368675204703,4.833318024354399,2.6418814297711526,2.348998792777661,8.247198456854923,9.540697826999791,0.5847155154314508,4.299647018685702,2.8375957904681925,6.718946829729163,6.957898120932185,39.98924287879845,92.16756979942264,85086,11.822675419561335,26.3,25
MS,9.521269189672893,3.6125786320948796,1.5331400742477836,1.3962525676185171,0.7764259376011989,1.843757382147679,0.8733422922947196,6.485573621229923,1.2442683245438517,8.337935360937156,2.9557532645714795,2.4004593162508154,5.317649414669021,3.8136859346913616,2.2834400534408825,9.669733468291378,10.768275264349331,0.6071547579750661,4.992091813188447,4.179371130972402,7.487355505459075,9.900486693752143,25.537093963225963,86.53422674279561,54203,11.347347425203626,22.9,46
MO,11.437283279339704,6.012209614664561,3.6474840054047895,1.9035277646637472,1.0665342601787486,1.7938365865173296,0.9500056978201767,6.414801308870692,1.7611148192163055,7.116675077734547,3.201947026551842,1.7556449118465822,5.202370293193547,3.2015888778550146,2.1358360330147983,9.02170055513048,10.642942028749573,0.5360509222328944,4.695101502596579,3.20477965715402,6.146026991388152,8.152538785875919,33.22479152029813,90.74182666861222,68545,11.6485870945269,26.8,24
MT,12.818561379300533,5.364242885492166,2.6991030847908504,1.7778267765820488,1.9022995454965754,1.8137460613259553,1.161153115731224,5.216298108725185,1.5002525019026551,6.510992723677565,3.3243120212243857,2.1866309133456148,5.410653446473153,4.324006173849338,3.1148421329653684,9.114963049369457,9.831214925351903,1.2086305861600506,6.397722503965348,3.475457526334882,4.077550091398576,6.769540446537167,34.621691409759435,90.9228176210224,70804,11.587622888274131,22.7,50
NE,11.959797836598032,6.008041201070367,2.9114296087550353,1.769121864728787,1.2068525017817042,2.0188486060445396,1.0874639096834426,6.945476968471039,1.835683646164101,6.76240805733726,3.0243829348270834,1.3913621441153814,5.098267472707748,2.9512898386188957,2.4649950342797977,9.11444976554501,10.645658884797212,1.4939422055481597,4.5571288340258445,3.4857050650346064,6.057890500586858,7.209803119279097,35.2863959805576,92.07127972241062,74590,11.904937242166904,26.4,28
NV,10.739393300856296,5.010513386016972,2.5347764050451405,1.789492010404815,0.9213747769960818,1.2693154960178905,0.9438598677748177,4.7856624782296135,2.4501039774840727,4.604239917203472,2.3561805411454677,2.7050849069149363,7.732108773875152,4.369302840123938,4.441319373732403,9.585651171441107,11.066390763895626,0.1342038703907973,5.398092107925867,3.278261992423167,4.120425006761589,9.764247035340782,28.7207428548858,93.91059741892812,76364,11.720234567084,34.2,8
NH,13.407201203334237,5.900202644828378,4.725593832912027,3.0797574529425282,1.0095681784945787,2.0867716798629536,1.0170106754131238,6.112770802431737,1.7700085653999622,7.002083899137193,2.7931560365178516,1.7022426724047883,4.7578446528923894,3.091508763866547,1.9934140430776945,9.167589362191071,9.64586771679863,0.3313869680573255,5.382492113564669,3.0236123007499947,5.82107715127332,6.1788392838489985,40.74832802277478,93.85909923387996,96838,11.806319034582089,30.2,36
