geo,indic_is,unit,F,M,M_minus_F_pp
SE,I_IUAIFE,PC_IND_IU3,12.02,10.37,-1.6500000000000004
SE,I_IUAIFE,PC_IND_IUAI,30.74,22.4,-8.34
SE,I_IUAIPR,PC_IND,29.23,38.04,8.809999999999999
SE,I_IUAIPR,PC_IND_IU3,29.67,38.83,9.159999999999997
SE,I_IUAIPR,PC_IND_IUAI,75.86,83.86,8.0
SE,I_IUAIWP,PC_IND,18.26,23.62,5.359999999999999
SE,I_IUAIWP,PC_IND_IU3,18.53,24.11,5.579999999999998
SE,I_IUAIWP,PC_IND_IUAI,47.39,52.08,4.689999999999998
SI,I_IUAI,PC_IND,38.33,36.83,-1.5
SI,I_IUAI,PC_IND_IU3,41.87,40.21,-1.6599999999999966
SI,I_IUAIFE,PC_IND,10.79,7.64,-3.1499999999999995
SI,I_IUAIFE,PC_IND_IU3,11.79,8.34,-3.4499999999999993
SI,I_IUAIFE,PC_IND_IUAI,28.16,20.73,-7.43
SI,I_IUAIPR,PC_IND,29.98,32.29,2.3099999999999987
SI,I_IUAIPR,PC_IND_IU3,32.76,35.25,2.490000000000002
SI,I_IUAIPR,PC_IND_IUAI,78.23,87.68,9.450000000000003
SI,I_IUAIWP,PC_IND,15.65,14.85,-0.8000000000000007
SI,I_IUAIWP,PC_IND_IU3,17.1,16.21,-0.8900000000000006
SI,I_IUAIWP,PC_IND_IUAI,40.83,40.32,-0.509999999999998
SK,I_IUAI,PC_IND,27.34,34.29,6.949999999999999
SK,I_IUAI,PC_IND_IU3,29.57,37.06,7.490000000000002
SK,I_IUAIFE,PC_IND,8.59,9.52,0.9299999999999997
SK,I_IUAIFE,PC_IND_IU3,9.29,10.29,1.0
SK,I_IUAIFE,PC_IND_IUAI,31.42,27.77,-3.650000000000002
SK,I_IUAIPR,PC_IND,20.0,30.91,10.91
SK,I_IUAIPR,PC_IND_IU3,21.63,33.4,11.77
SK,I_IUAIPR,PC_IND_IUAI,73.16,90.13,16.97
SK,I_IUAIWP,PC_IND,9.57,12.36,2.789999999999999
SK,I_IUAIWP,PC_IND_IU3,10.35,13.35,3.0
SK,I_IUAIWP,PC_IND_IUAI,35.0,36.03,1.0300000000000011
TR,I_IUAI,PC_IND,16.4,17.98,1.5800000000000018
TR,I_IUAI,PC_IND_IU3,18.85,19.44,0.5899999999999999
TR,I_IUAIFE,PC_IND,6.01,4.81,-1.2000000000000002
TR,I_IUAIFE,PC_IND_IU3,6.9,5.19,-1.71
