geo,ind,unit,grp,value,flag,usable
RO,I_IUAI,PC_IND,CB_EXT_EU,,u,False
SE,I_IUAI,PC_IND,CB_EXT_EU,44.9,,True
SI,I_IUAI,PC_IND,CB_EXT_EU,25.86,,True
SK,I_IUAI,PC_IND,CB_EXT_EU,35.23,,True
AT,I_IUAI,PC_IND_IU3,CB_EXT_EU,42.54,,True
BE,I_IUAI,PC_IND_IU3,CB_EXT_EU,42.68,,True
BG,I_IUAI,PC_IND_IU3,CB_EXT_EU,29.55,u,False
CY,I_IUAI,PC_IND_IU3,CB_EXT_EU,37.8,,True
CZ,I_IUAI,PC_IND_IU3,CB_EXT_EU,31.52,,True
DE,I_IUAI,PC_IND_IU3,CB_EXT_EU,33.23,,True
DK,I_IUAI,PC_IND_IU3,CB_EXT_EU,57.41,,True
EA,I_IUAI,PC_IND_IU3,CB_EXT_EU,35.05,,True
EE,I_IUAI,PC_IND_IU3,CB_EXT_EU,37.41,,True
EL,I_IUAI,PC_IND_IU3,CB_EXT_EU,30.06,,True
ES,I_IUAI,PC_IND_IU3,CB_EXT_EU,34.62,,True
EU27_2020,I_IUAI,PC_IND_IU3,CB_EXT_EU,35.83,,True
FI,I_IUAI,PC_IND_IU3,CB_EXT_EU,68.29,,True
FR,I_IUAI,PC_IND_IU3,CB_EXT_EU,36.51,,True
HR,I_IUAI,PC_IND_IU3,CB_EXT_EU,25.88,,True
HU,I_IUAI,PC_IND_IU3,CB_EXT_EU,44.16,,True
IT,I_IUAI,PC_IND_IU3,CB_EXT_EU,14.95,,True
LT,I_IUAI,PC_IND_IU3,CB_EXT_EU,38.1,,True
LU,I_IUAI,PC_IND_IU3,CB_EXT_EU,52.1,,True
LV,I_IUAI,PC_IND_IU3,CB_EXT_EU,19.8,,True
MT,I_IUAI,PC_IND_IU3,CB_EXT_EU,47.08,,True
NL,I_IUAI,PC_IND_IU3,CB_EXT_EU,54.21,,True
PL,I_IUAI,PC_IND_IU3,CB_EXT_EU,33.16,,True
PT,I_IUAI,PC_IND_IU3,CB_EXT_EU,47.57,,True
RO,I_IUAI,PC_IND_IU3,CB_EXT_EU,,u,False
SE,I_IUAI,PC_IND_IU3,CB_EXT_EU,46.69,,True
SI,I_IUAI,PC_IND_IU3,CB_EXT_EU,28.46,,True
SK,I_IUAI,PC_IND_IU3,CB_EXT_EU,39.2,,True
AT,I_IUAIFE,PC_IND,CB_EXT_EU,24.12,,True
BE,I_IUAIFE,PC_IND,CB_EXT_EU,14.2,,True
BG,I_IUAIFE,PC_IND,CB_EXT_EU,,u,False
CY,I_IUAIFE,PC_IND,CB_EXT_EU,9.38,,True
CZ,I_IUAIFE,PC_IND,CB_EXT_EU,7.8,u,False
DE,I_IUAIFE,PC_IND,CB_EXT_EU,6.28,,True
DK,I_IUAIFE,PC_IND,CB_EXT_EU,33.68,,True
EA,I_IUAIFE,PC_IND,CB_EXT_EU,10.31,,True
EE,I_IUAIFE,PC_IND,CB_EXT_EU,9.99,,True
EL,I_IUAIFE,PC_IND,CB_EXT_EU,5.75,u,False
ES,I_IUAIFE,PC_IND,CB_EXT_EU,15.71,,True
EU27_2020,I_IUAIFE,PC_IND,CB_EXT_EU,10.8,,True
FI,I_IUAIFE,PC_IND,CB_EXT_EU,30.45,,True
FR,I_IUAIFE,PC_IND,CB_EXT_EU,7.75,,True
HR,I_IUAIFE,PC_IND,CB_EXT_EU,7.66,u,False
HU,I_IUAIFE,PC_IND,CB_EXT_EU,12.11,u,False
IT,I_IUAIFE,PC_IND,CB_EXT_EU,3.39,,True
LT,I_IUAIFE,PC_IND,CB_EXT_EU,9.88,,True
LU,I_IUAIFE,PC_IND,CB_EXT_EU,12.91,,True
LV,I_IUAIFE,PC_IND,CB_EXT_EU,3.46,,True
MT,I_IUAIFE,PC_IND,CB_EXT_EU,19.17,,True
NL,I_IUAIFE,PC_IND,CB_EXT_EU,18.44,,True
PL,I_IUAIFE,PC_IND,CB_EXT_EU,8.49,,True
PT,I_IUAIFE,PC_IND,CB_EXT_EU,17.3,,True
RO,I_IUAIFE,PC_IND,CB_EXT_EU,,u,False
