geo_id,automation,aui,expected,auto_resid,aui_resid,wave,gdp_pwa,coding_share,personal_share,lang_group,agency_ai_alone,hof_pdi,hof_idv,hof_uai,hof_pdi_regional,hof_idv_regional,hof_uai_regional,globe_pdi_practices,globe_participative,hof_pdi_extended,log_gdp,prompt_edu,task_hours,autonomy,work_share,coursework_share,english_share,internet,tertiary,test_scores,learning_adj_years,expected_years,secondary_enrol,primary_enrol,edu_spend,globe_future,globe_performance,globe_uai,globe_inst_collectivism,hof_longterm,hof_indulgence
HRV,49.54441913439636,1.4189268455426038,68.12206284811664,-6.779057851953965,0.7747367383544552,2025-08,38045.172524694855,17.22222222222222,43.08943089430895,english,,73.0,33.0,80.0,,,,,,73.0,10.546529483353789,11.74448299407959,2.6879444122314453,3.421602725982666,46.45760743321719,10.452961672473869,95.3405017921147,83.63240029,81.1775207519531,487.581237792969,10.4461622238159,13.390284538269,105.025161743164,101.157791137695,4.0916600227356,,,,,58.0,33.0
HUN,48.717948717948715,0.9456727203268284,64.83044578140236,-6.255496887879055,0.0618035304271022,2025-08,36106.862456746145,23.753280839895012,44.363193174893354,english,,46.0,80.0,82.0,,,,5.558247422680412,5.011839708561021,46.0,10.494238222009804,11.660985946655272,2.59559965133667,3.3609251976013184,40.40219378427789,15.234613040828762,96.35416666666666,93.77898628,60.5168685913086,495.481231689453,10.2715682983398,12.9565553665161,107.350929260254,102.887977600098,3.8011999130249,3.2092783505154623,3.4312714776632296,3.115979381443299,3.532646048109965,58.0,31.0
IDN,54.7158096743241,0.3579440501634318,52.34817018261749,4.861873238957585,-1.434821984367205,2025-08,7231.199089520412,28.813653238765447,19.030907278165504,english,0.0439499816108863,78.0,14.0,48.0,,,,5.1789772727272725,4.467440119760479,78.0,8.886160150574304,12.194177627563477,3.7049410343170166,3.5834097862243652,22.161515453639083,58.80757726819541,97.42552408973889,72.78075544,44.8813034886441,394.915100097656,7.82776832580566,12.3883724212647,98.836444459078,100.036318150714,1.27517088245674,3.8579545454545454,4.414772727272727,4.166666666666667,4.542140151515151,62.0,38.0
IND,58.305568776772965,0.267048037486808,55.58281830809711,7.124966333229203,-1.29018710754593,2025-08,3948.7128605939074,52.14582038420955,27.817374238198532,english,0.0395431834403997,77.0,48.0,40.0,,,,5.466019417475729,5.070540935672514,77.0,8.281144946714395,12.246807098388672,3.8138930797576904,3.601466417312622,51.31529112006334,20.86733464173811,99.92862241256243,64.9434967,34.4184659748952,399.0,7.10217046737671,11.1249532699585,78.1058073224606,120.520368565055,4.09865814174589,4.192718446601941,4.2459546925566345,4.150485436893204,4.381067961165049,51.0,26.0
IRL,46.68304668304668,2.257524240446821,56.130005454779685,-4.721980353050753,0.7401325251722597,2025-08,163661.46945325768,16.177178623013962,39.20879120879121,english,0.0216508795669824,28.0,70.0,35.0,,,,5.150666666666668,5.761217948717948,28.0,12.005555362736272,12.264615058898926,6.2592926025390625,3.3287911415100098,40.61538461538461,20.175824175824175,99.05277401894452,97.18769836,77.5933380126953,521.328552246094,11.5947971343994,13.9005393981934,130.604965209961,96.4761428833008,2.90461993217468,3.979333333333334,4.359999999999999,4.304444444444444,4.626666666666667,24.0,65.0
IRQ,45.25735294117647,0.3940667108563072,47.64309072962976,-2.666831405583345,-1.741299664030104,2025-08,10043.662811380043,13.521126760563378,47.83549783549784,english,0.048582995951417,,,,80.0,38.0,68.0,,,80.0,9.214697148565012,9.05627727508545,2.3045952320098877,3.4418675899505615,13.945578231292515,38.218923933209645,97.57085020242916,81.47450256,,363.432495117188,4.03086042404175,6.93192768096924,,,,,,,,25.0,17.0
ISR,45.99400973418196,7.00376424055597,51.542587112803346,-3.529523011501297,5.152339678223445,2025-08,90237.43265143564,23.454313332117454,41.631931287103704,english,0.0220095693779904,13.0,54.0,81.0,,,,4.72638888888889,4.8015432098765425,13.0,11.410199616099286,11.368182182312012,2.4733211994171143,3.3282828330993652,45.118100290514086,13.249968422382215,97.22488038277513,88.18242225,56.2561111450195,480.752197265625,10.5865087509155,13.7629480361938,98.5473403930664,97.4422836303711,5.93291997909546,3.8497685185185166,4.080246913580247,4.005015432098765,4.459490740740741,38.0,
ITA,47.98272933182333,1.4724186837774282,53.24345405997652,-2.2384008883649074,-0.2551572590314901,2025-08,63346.04219526605,28.242314898341547,39.02289702461124,english,0.0243185462319615,50.0,76.0,75.0,,,,5.426877934272303,5.570488721804511,50.0,11.05636770858478,11.62861156463623,2.7130844593048096,3.3707761764526367,44.92469695114485,16.052406024243908,86.37092463923037,89.2207202,75.9496536254883,492.987823486328,10.4518785476685,13.2506809234619,100.678756713867,103.566017150879,4.06775999069214,3.252582159624413,3.580985915492958,3.7875586854460095,3.678990610328639,61.0,30.0
JAM,63.17567567567568,0.5726788336209688,69.81424748904487,6.158162195836212,0.0517051438641325,2025-08,9671.355122194287,5.483870967741936,33.12101910828025,english,,45.0,39.0,13.0,,,,,,45.0,9.176923715360676,11.732483863830566,3.333184242248535,3.452229261398315,35.6687898089172,31.210191082802545,100.0,90.10870361,,387.132995605469,7.05798578262329,11.3946399688721,84.4572372436523,97.2972106933594,5.51383018493652,,,,,,
JOR,56.82870370370371,0.4572122869157157,68.05569089557434,0.5324486623435121,-0.1918106937144806,2025-08,7135.879551781071,29.67525195968645,31.914893617021285,english,,,,,,,,,,,8.872890795162947,11.795212745666504,3.1609575748443604,3.5039894580841064,44.680851063829785,23.404255319148938,98.73417721518987,95.62244985,35.9184001120427,429.954071044922,7.6661262512207,11.1438150405884,91.7518621587381,98.5516247069238,3.23356008529663,,,,,16.0,43.0
