iso3,HD.HCI.HLOS,HD.HCI.LAYS,HD.HCI.EYRS,SE.SEC.ENRR,SE.PRM.ENRR,SE.XPD.TOTL.GD.ZS
SSA,,,,45.9034194946289,97.1018218994141,3.25853222146531
SSD,335.587432861328,2.51134634017944,4.67714595794678,122.120628356934,98.4412384033203,1.56539228959694
SSF,,,,45.9050216674805,97.1016311645508,3.25853222146531
SST,,,,77.5084533691406,100.858131408691,4.78955296464152
STP,,,,90.4435729980469,110.377998352051,5.0288576428727
SUR,,,,76.1109237670898,91.9199272065514,2.86623341491363
SVK,485.350006103516,9.79978275299072,12.6194791793823,93.1929931640625,102.752586364746,4.65688991546631
SVN,520.809020996094,11.3709392547607,13.6457633972168,107.626876831055,100.884101867676,5.28065013885498
SWE,519.361755371094,11.5808744430542,13.9364252090454,131.96354675293,114.869583129883,7.31909990310669
SWZ,440.304504394531,4.52542972564697,6.42372179031372,82.023935767308,116.527002594136,6.03082905337534
SXM,,,,111.371100164204,135.070755004883,3.92363832601723
SYC,463.379333496094,9.70082473754883,13.0843467712402,70.824577331543,93.3800582885742,4.45409960547034
SYR,,,,38.736930847168,81.4114685058594,
TCA,,,,119.728975687525,125.059584610146,2.94998113247616
TCD,333.111328125,2.83042907714844,5.31059169769287,23.49298947746,88.464521953345,3.20149725837724
TEA,,,,90.9757614135742,100.048690795898,3.01801614079218
TEC,,,,98.6327209472656,97.0421981811523,3.93686432529785
TGO,383.717803955078,5.97273874282837,9.72840404510498,63.4192515229188,114.272773524266,4.14281885166484
THA,426.599975585938,8.68309020996094,12.7213582992554,92.507325535959,101.004223573604,2.52122219628772
TJK,390.565551757813,6.78547477722168,10.8584127426147,86.9035257819264,95.7571411611065,5.43682120015444
TKM,,,,94.6464126735365,95.6921775462619,4.28878021240234
TLA,,,,98.0442428588867,104.723831176758,3.79014883614714
TLS,371.441253662109,6.29272079467773,10.5883512496948,84.7410404382553,119.652693100113,5.24052834781801
TMN,,,,,,3.51486315596325
TON,385.956787109375,7.14021062850952,11.5625162124634,92.4258049730721,108.789986091794,5.31016278046634
TSA,,,,76.874153137207,119.026802062988,2.86143825839217
TSS,,,,45.9050216674805,97.1016311645508,3.25853222146531
TTO,458.288940429688,9.11580753326416,12.4318504333496,95.6815649255588,98.262990670178,3.23358011245727
TUN,384.078735351563,6.49405193328857,10.5675792694092,90.3264236450195,104.424217224121,6.73398856321206
